State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Uttar Pradesh,Kanpur,2008,Kharif,Bajra,28517.7,32977.4
Karnataka,Ballari,2012,Whole Year,Coconut,46739.2,532488.7
Tamil Nadu,Madurai,2010,Autumn,Rice,3185.2,9369.2
Maharashtra,Nashik,2006,Kharif,Jowar,28092.0,28713.4
Gujarat,Ahmedabad,1998,Rabi,Onion,9920.3,182847.2
Bihar,Muzaffarpur,2019,Autumn,Rice,7994.3,20822.2
Assam,Guwahati,2003,Autumn,Rice,13887.1,40506.9
Maharashtra,Pune,2014, Kharif ,Tur,29719.6,23084.8
Rajasthan,Kota,2017,Rabi,Barley,20245.8,49800.2
Punjab,Ludhiana,2002,Autumn,Rice,5339.8,
Karnataka,Belagavi,2006,Whole Year,Sugarcane,57042.4,4287377.0
Karnataka,Bengaluru Rural,2003,Rabi,Onion,20624.7,432392.6
Karnataka,Belagavi,1998,Kharif,Maize,17868.6,49479.5
Karnataka,Bengaluru Rural,2009,Rabi,Jowar,12012.1,9350.0
Karnataka,Mysuru,2013,Rabi,Jowar,8997.0,7202.7
Madhya Pradesh,Gwalior,2005,Kharif,Soybean,22309.5,40042.2
Andhra Pradesh,Guntur,2003,Kharif,Cotton,75532.6,41370.7
Tamil Nadu,Madurai,1997,Whole Year,Sugarcane,25880.1,1577023.4
Gujarat,Surat,2020,Kharif,Cotton,16623.3,9200.2
Odisha,Sambalpur,2000,Winter,Rice,12572.3,36349.4
Uttar Pradesh,Kanpur,2021,Rabi,Mustard,29734.0,46643.6
Karnataka,Bengaluru Rural,2005,Rabi,Sunflower,40090.4,32757.7
Rajasthan,Jodhpur,2001,Rabi,Barley,21174.9,48505.6
Maharashtra,Aurangabad,2010,Kharif,Soybean,155363.1,238981.4
Maharashtra,Nagpur,2009,Kharif,Cotton,94825.4,39838.0
Madhya Pradesh,Indore,2019,Rabi,Maize,33212.7,131163.3
Haryana,Karnal,2011,Rabi,Wheat,40318.8,
Andhra Pradesh,Krishna,2000,Kharif,Tobacco,52149.4,97892.0
Gujarat,Rajkot,2018,Kharif,Groundnut,35475.9,54007.2
Karnataka,Mysuru,2014,Whole Year,Coconut,56721.7,408222.8
Maharashtra,Pune,1999,Rabi,Onion,39357.4,659837.7
Punjab,Jalandhar,2020,Kharif,Cotton,92690.3,57835.5
Madhya Pradesh,Jabalpur,2008,Rabi,Gram,67432.5,58089.6
Punjab,Patiala,2015,Autumn,Rice,7121.1,14851.5
Odisha,Cuttack,2013,Kharif,Rice,19974.0,64868.2
Karnataka,Ballari,2004,Rabi,Maize,20422.3,49895.3
Karnataka,Bengaluru Rural,2009,Kharif,Sunflower,40741.6,24050.2
Odisha,Cuttack,2010,Kharif,Rice,24792.2,81817.1
Andhra Pradesh,Chittoor,2010,Kharif,Sunflower,,9403.4
Karnataka,Mysuru,2011,Kharif,Tur,61519.1,48788.7
West Bengal,Nadia,2005,Kharif,Rice,29362.3,66173.5
Tamil Nadu,Madurai,2020,Kharif,Rice,6925.3,25048.9
Uttar Pradesh,Meerut,1999,Rabi,Potato,21887.7,552049.2
Gujarat,Rajkot,2013,Kharif,Tobacco,36189.8,74953.7
Karnataka,Mysuru,2011,Kharif,Onion,26255.9,546894.1
West Bengal,Nadia,2012,Kharif,Rice,32325.6,94813.9
Andhra Pradesh,Krishna,2010,Autumn,Rice,6046.3,18214.9
Karnataka,Belagavi,2010,Rabi,Groundnut,11045.8,15385.0
Kerala,Palakkad,2008,Whole Year,Coconut,78143.1,756037.5
Tamil Nadu,Madurai,2011,Winter,Rice,4763.8,
Andhra Pradesh,Anantapur,1997,Kharif,Sunflower,10626.4,9864.5
Haryana,Karnal,2014,Kharif,Bajra,97432.3,122701.5
Andhra Pradesh,Guntur,2018,Winter,Rice,6420.6,18552.3
Haryana,Rohtak,2016,Kharif,Bajra,89264.0,104706.6
Andhra Pradesh,Anantapur,2010,Kharif,Tobacco,79299.4,154069.9
Assam,Dibrugarh,1997,Winter,Rice,17694.0,51744.6
West Bengal,Bardhaman,2013,Rabi,Potato,42281.0,1327922.1
Bihar,Bhagalpur,2008,Autumn,Rice,8558.6,26404.3
Karnataka,Mysuru,2019,Kharif,Tobacco,80178.7,134091.8
Gujarat,Ahmedabad,2010,Rabi,Onion,10402.4,237175.0
Uttar Pradesh,Kanpur,2015,Rabi,Potato,34726.9,910359.0
Karnataka,Ballari,2000,Rabi,Jowar,11279.4,12236.2
Karnataka,Mysuru,2003,Kharif,Sunflower,38241.0,
Uttar Pradesh,Meerut,1997,Winter,Rice,9541.3,27314.2
Odisha,Balasore,2014,Winter,Rice,9506.3,23963.8
Andhra Pradesh,Anantapur,2008,Kharif,Cotton,77352.7,39097.9
Gujarat,Ahmedabad,2017,Kharif,Tobacco,40873.7,62661.5
Karnataka,Bengaluru Rural,2006,Rabi,Jowar,7405.7,7306.7
Andhra Pradesh,Anantapur,2009,Winter,Rice,7995.9,18738.2
Punjab,Jalandhar,2008,Kharif,Cotton,71741.3,33407.2
Assam,Guwahati,2009,Winter,Rice,20456.3,56911.4
Uttar Pradesh,Varanasi,2008, Rabi ,Mustard,25946.6,49211.0
Gujarat,Rajkot,2006,Kharif,Onion,12572.3,246357.7
Karnataka,Mysuru,2018,Kharif,Maize,33128.7,114579.3
Assam,Silchar,2019,Autumn,Rice,9191.3,25078.8
Punjab,Patiala,2007,Rabi,Wheat,51069.2,178105.1
Tamil Nadu,Salem,2009,Whole Year,Banana,25887.8,960141.0
Gujarat,Surat,2015,Kharif,Bajra,21364.6,18538.2
Odisha,Balasore,2016,Autumn,Rice,8476.1,24175.6
Uttar Pradesh,Meerut,2010,Autumn,Rice,5816.9,16344.1
Maharashtra,Kolhapur,2016,Kharif,Tur,25002.7,21808.8
Madhya Pradesh,Gwalior,2020,Kharif,Maize,50183.0,211157.7
Karnataka,Belagavi,2015,Kharif,Tur,95223.2,64557.3
Gujarat,Ahmedabad,2001,Rabi,Onion,8273.3,133496.1
Assam,Silchar,2000, Winter ,Rice,18833.9,46279.5
Maharashtra,Aurangabad,2001,Rabi,Jowar,47360.2,45921.7
Haryana,Karnal,1999,Rabi,Mustard,69930.9,92878.3
Karnataka,Bengaluru Rural,2012,Rabi,Onion,14883.4,341742.3
Madhya Pradesh,Indore,2019,Rabi,Gram,69495.6,75917.9
Bihar,Patna,2018,Autumn,Rice,10751.4,32601.6
Punjab,Amritsar,2014,Winter,Rice,7754.2,17603.5
Assam,Guwahati,2017,Kharif,Jute,96773.8,191675.9
Andhra Pradesh,Krishna,2017,Rabi,Groundnut,21332.0,36419.6
Andhra Pradesh,Krishna,1998,Rabi,Sunflower,15906.4,15488.6
Uttar Pradesh,Kanpur,2019,Whole Year,Sugarcane,63087.3,5478958.5
Haryana,Rohtak,2005,Rabi,Wheat,22943.7,76910.7
West Bengal,Hooghly,2017,Rabi,Potato,57455.4,1775193.0
Bihar,Muzaffarpur,1998,Rabi,Potato,59281.6,1159006.2
Andhra Pradesh,Anantapur,2020,Rabi,Groundnut,18396.0,30132.9
Gujarat,Vadodara,2021,Kharif,Bajra,21245.5,27613.4
Karnataka,Bengaluru Rural,2016,Whole Year,Coconut,51247.6,565048.6
Karnataka,Belagavi,2006,Rabi,Maize,26145.5,82185.6
Andhra Pradesh,Chittoor,2015,Winter,Rice,9562.6,25828.2
Uttar Pradesh,Kanpur,2012,Rabi,Wheat,78855.3,309711.5
Karnataka,Mysuru,2009,Kharif,Maize,,62492.9
Karnataka,Bengaluru Rural,2010,Rabi,Maize,29106.8,97238.7
Rajasthan,Jaipur,2013,Rabi,Mustard,45003.2,63175.2
Rajasthan,Bikaner,2013,Rabi,Wheat,78173.4,253817.2
Tamil Nadu,Thanjavur,2021,Winter,Rice,4078.4,12213.2
Bihar,Patna,2011,Rabi,Potato,91600.5,2769630.7
Odisha,Balasore,2014,Kharif,Rice,20938.0,58961.0
Andhra Pradesh,Guntur,2012,Kharif,Maize,52534.5,174956.4
Rajasthan,Jaipur,1999,Rabi,Barley,20640.2,52460.8
Bihar,Bhagalpur,1998, Kharif ,Rice,29337.3,76591.1
Madhya Pradesh,Indore,2015,Kharif,Maize,35887.9,108148.4
Karnataka,Belagavi,2007,Kharif,Groundnut,10500.8,14206.6
Andhra Pradesh,Chittoor,1998,Whole Year,Banana,52651.7,1882260.6
Rajasthan,Jaipur,1998,Rabi,Wheat,53032.3,169384.3
Uttar Pradesh,Lucknow,2020, Winter ,Rice,12371.2,33933.4
