State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,Decade
Uttar Pradesh,Kanpur,2008,Kharif,Bajra,28517.7,32977.4,1.156,2000
Karnataka,Ballari,2012,Whole Year,Coconut,46739.2,532488.7,11.393,2010
Tamil Nadu,Madurai,2010,Autumn,Rice,3185.2,9369.2,2.941,2010
Maharashtra,Nashik,2006,Kharif,Jowar,28092.0,28713.4,1.022,2000
Gujarat,Ahmedabad,1998,Rabi,Onion,9920.3,182847.2,18.432,1990
Bihar,Muzaffarpur,2019,Autumn,Rice,7994.3,20822.2,2.605,2010
Assam,Guwahati,2003,Autumn,Rice,13887.1,40506.9,2.917,2000
Maharashtra,Pune,2014,Kharif,Tur,29719.6,23084.8,0.777,2010
Rajasthan,Kota,2017,Rabi,Barley,20245.8,49800.2,2.46,2010
Punjab,Ludhiana,2002,Autumn,Rice,5339.8,14902.68221999289,2.791,2000
Karnataka,Belagavi,2006,Whole Year,Sugarcane,57042.4,4287377.0,75.161,2000
Karnataka,Bengaluru Rural,2003,Rabi,Onion,20624.7,432392.6,20.965,2000
Karnataka,Belagavi,1998,Kharif,Maize,17868.6,49479.5,2.769,1990
Karnataka,Bengaluru Rural,2009,Rabi,Jowar,12012.1,9350.0,0.778,2000
Karnataka,Mysuru,2013,Rabi,Jowar,8997.0,7202.7,0.801,2010
Madhya Pradesh,Gwalior,2005,Kharif,Soybean,22309.5,40042.2,1.795,2000
Andhra Pradesh,Guntur,2003,Kharif,Cotton,75532.6,41370.7,0.548,2000
Tamil Nadu,Madurai,1997,Whole Year,Sugarcane,25880.1,1577023.4,60.936,1990
Gujarat,Surat,2020,Kharif,Cotton,16623.3,9200.2,0.553,2020
Odisha,Sambalpur,2000,Winter,Rice,12572.3,36349.4,2.891,2000
Uttar Pradesh,Kanpur,2021,Rabi,Mustard,29734.0,46643.6,1.569,2020
Karnataka,Bengaluru Rural,2005,Rabi,Sunflower,40090.4,32757.7,0.817,2000
Rajasthan,Jodhpur,2001,Rabi,Barley,21174.9,48505.6,2.291,2000
Maharashtra,Aurangabad,2010,Kharif,Soybean,155363.1,238981.4,1.538,2010
Maharashtra,Nagpur,2009,Kharif,Cotton,94825.4,39838.0,0.42,2000
Madhya Pradesh,Indore,2019,Rabi,Maize,33212.7,131163.3,3.949,2010
Haryana,Karnal,2011,Rabi,Wheat,40318.8,140010.55725306776,3.473,2010
Andhra Pradesh,Krishna,2000,Kharif,Tobacco,52149.4,97892.0,1.877,2000
Gujarat,Rajkot,2018,Kharif,Groundnut,35475.9,54007.2,1.522,2010
Karnataka,Mysuru,2014,Whole Year,Coconut,56721.7,408222.8,7.197,2010
Maharashtra,Pune,1999,Rabi,Onion,39357.4,659837.7,16.765,1990
Punjab,Jalandhar,2020,Kharif,Cotton,92690.3,57835.5,0.624,2020
Madhya Pradesh,Jabalpur,2008,Rabi,Gram,67432.5,58089.6,0.861,2000
Punjab,Patiala,2015,Autumn,Rice,7121.1,14851.5,2.086,2010
Odisha,Cuttack,2013,Kharif,Rice,19974.0,64868.2,3.248,2010
Karnataka,Ballari,2004,Rabi,Maize,20422.3,49895.3,2.443,2000
Karnataka,Bengaluru Rural,2009,Kharif,Sunflower,40741.6,24050.2,0.59,2000
Odisha,Cuttack,2010,Kharif,Rice,24792.2,81817.1,3.3,2010
Karnataka,Mysuru,2011,Kharif,Tur,61519.1,48788.7,0.793,2010
West Bengal,Nadia,2005,Kharif,Rice,29362.3,66173.5,2.254,2000
Tamil Nadu,Madurai,2020,Kharif,Rice,6925.3,25048.9,3.617,2020
Uttar Pradesh,Meerut,1999,Rabi,Potato,21887.7,552049.2,25.222,1990
Gujarat,Rajkot,2013,Kharif,Tobacco,36189.8,74953.7,2.071,2010
Karnataka,Mysuru,2011,Kharif,Onion,26255.9,546894.1,20.829,2010
West Bengal,Nadia,2012,Kharif,Rice,32325.6,94813.9,2.933,2010
Andhra Pradesh,Krishna,2010,Autumn,Rice,6046.3,18214.9,3.013,2010
Karnataka,Belagavi,2010,Rabi,Groundnut,11045.8,15385.0,1.393,2010
Kerala,Palakkad,2008,Whole Year,Coconut,78143.1,756037.5,9.675,2000
Tamil Nadu,Madurai,2011,Winter,Rice,4763.8,13295.1416831346,2.791,2010
Andhra Pradesh,Anantapur,1997,Kharif,Sunflower,10626.4,9864.5,0.928,1990
Haryana,Karnal,2014,Kharif,Bajra,97432.3,122701.5,1.259,2010
Andhra Pradesh,Guntur,2018,Winter,Rice,6420.6,18552.3,2.889,2010
Haryana,Rohtak,2016,Kharif,Bajra,89264.0,104706.6,1.173,2010
Andhra Pradesh,Anantapur,2010,Kharif,Tobacco,79299.4,154069.9,1.943,2010
Assam,Dibrugarh,1997,Winter,Rice,17694.0,51744.6,2.924,1990
West Bengal,Bardhaman,2013,Rabi,Potato,42281.0,1327922.1,31.407,2010
Bihar,Bhagalpur,2008,Autumn,Rice,8558.6,26404.3,3.085,2000
Karnataka,Mysuru,2019,Kharif,Tobacco,80178.7,134091.8,1.672,2010
Gujarat,Ahmedabad,2010,Rabi,Onion,10402.4,237175.0,22.8,2010
Uttar Pradesh,Kanpur,2015,Rabi,Potato,34726.9,910359.0,26.215,2010
Karnataka,Ballari,2000,Rabi,Jowar,11279.4,12236.2,1.085,2000
Karnataka,Mysuru,2003,Kharif,Sunflower,38241.0,29989.734060637376,0.784,2000
Uttar Pradesh,Meerut,1997,Winter,Rice,9541.3,27314.2,2.863,1990
